Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/07/12,18:44:27.903000,53.4446,-168.1168,3.55,1.11,VT,9,ok08_217
2008/07/12,18:44:44.710000,53.4459,-168.1181,11.55,1.41,VT,7,ok08_218
2008/07/12,18:46:10.253000,53.4457,-168.0931,4.35,0.63,VT,4,ok08_219
2008/07/12,18:46:28.788000,53.4569,-168.0997,7.45,0.57,VT,6,ok08_220
2008/07/12,18:46:47.393000,53.4507,-168.1046,8.45,0.73,VT,6,ok08_221
2008/07/12,18:46:58.153000,53.4496,-168.0503,10.55,0.61,VT,6,ok08_222
2008/07/12,18:47:06.653000,53.4529,-168.1021,6.55,1.58,VT,9,ok08_223
2008/07/12,18:47:24.558000,53.4508,-168.0565,10.45,1.54,VT,9,ok08_224
2008/07/12,18:47:54.753000,53.4553,-168.1,2.75,0.63,VT,5,ok08_225
2008/07/12,18:48:34.346000,53.451,-168.1108,8.85,0.78,VT,6,ok08_227
2008/07/12,18:48:42.845000,53.4516,-168.104,5.25,1.22,VT,9,ok08_228
2008/07/12,18:48:55.683000,53.4627,-168.1602,11.25,1.13,VT,4,ok08_229
2008/07/12,18:49:07.977000,53.4332,-168.0736,4.55,1.28,VT,8,ok08_230
2008/07/12,18:49:20.559000,53.456,-168.0247,12.15,1.41,VT,8,ok08_231
2008/07/12,18:50:26.330000,53.4463,-168.1301,14.25,0.63,VT,6,ok08_233
2008/07/12,18:51:58.799000,53.4622,-168.16,11.35,0.58,VT,5,ok08_234
2008/07/12,18:52:24.154000,53.4487,-168.0952,0.25,1.05,VT,6,ok08_235
2008/07/12,18:53:07.337000,53.4482,-168.1053,6.45,1.45,VT,9,ok08_236
2008/07/12,18:53:29.602000,53.4572,-168.0921,6.55,1.19,VT,8,ok08_237
2008/07/12,18:54:04.477000,53.4589,-168.1023,11.65,0.96,VT,6,ok08_238
2008/07/12,18:54:21.348000,53.4567,-168.0928,6.65,0.9,VT,6,ok08_239
2008/07/12,18:54:29.520000,53.4511,-168.0858,4.25,1.24,VT,8,ok08_240
2008/07/12,18:55:03.911000,53.4547,-168.0953,5.05,1.48,VT,9,ok08_241
2008/07/12,18:56:09.159000,53.4498,-168.1102,11.55,1.02,VT,6,ok08_243
2008/07/12,18:56:28.183000,53.451,-168.1082,11.15,0.97,VT,7,ok08_244
2008/07/12,18:58:19.236000,53.4358,-168.0929,1.75,1.17,VT,7,ok08_248
2008/07/12,18:59:38.863000,53.4559,-168.0995,3.55,1.0,VT,6,ok08_250
2008/07/12,18:59:57.253000,53.4429,-168.1183,4.35,1.34,VT,8,ok08_251
2008/07/12,19:00:13.357000,53.4355,-168.1468,15.15,1.62,VT,7,ok08_252
2008/07/12,19:01:11.799000,53.4536,-168.1028,11.35,0.82,VT,6,ok08_253
2008/07/12,19:02:23.798000,53.4523,-168.0998,4.35,1.18,VT,8,ok08_255
2008/07/12,19:03:01.786000,53.4427,-168.1183,4.05,0.81,VT,6,ok08_256
2008/07/12,19:04:17.404000,53.4445,-168.1118,2.15,2.39,VT,17,ok08_257
2008/07/12,19:04:57.908000,53.4469,-168.1196,2.25,1.56,VT,8,ok08_258
2008/07/12,19:05:16.335000,53.4623,-168.0777,2.35,1.53,VT,8,ok08_259
2008/07/12,19:05:21.942000,53.4487,-168.1449,3.05,1.79,VT,10,ok08_260
2008/07/12,19:06:38.734000,53.4457,-168.1258,6.15,1.0,VT,6,ok08_262
2008/07/12,19:07:02.558000,53.4341,-168.1215,3.95,1.73,VT,11,ok08_263
2008/07/12,19:07:26.465000,53.4374,-168.146,2.05,2.08,VT,10,ok08_264
2008/07/12,19:08:10.624000,53.4479,-168.0777,4.35,1.35,VT,9,ok08_265
2008/07/12,19:08:21.530000,53.4514,-168.1061,4.95,1.66,VT,9,ok08_266
2008/07/12,19:08:44.674000,53.4425,-168.1531,1.95,1.12,VT,4,ok08_267
