Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/07/12,16:01:44.096342,53.4358,-168.0729,7.99,0.47,VT,5,ok08_128
2008/07/12,16:04:20.029662,53.4429,-168.1079,4.72,0.24,VT,5,ok08_129
2008/07/12,16:05:49.153207,53.4339,-168.1154,3.11,1.38,VT,10,ok08_130
2008/07/12,16:06:59.477868,53.4419,-168.0755,7.96,0.62,VT,7,ok08_131
2008/07/12,16:07:48.607877,53.4399,-168.0928,4.84,0.48,VT,6,ok08_132
2008/07/12,16:11:25.540533,53.4417,-168.0894,4.78,0.59,VT,3,ok08_133
2008/07/12,16:13:21.455173,53.436,-168.1272,6.41,0.72,VT,6,ok08_134
2008/07/12,16:16:20.450537,53.4396,-168.0985,3.84,0.46,VT,6,ok08_135
2008/07/12,16:22:06.697730,53.4412,-168.1055,3.65,0.22,VT,5,ok08_136
2008/07/12,16:25:10.974926,53.4248,-168.0487,11.38,0.74,VT,7,ok08_137
2008/07/12,16:26:24.628839,53.4406,-168.1034,2.39,0.52,VT,5,ok08_138
2008/07/12,16:27:40.203602,53.4221,-168.1349,10.25,0.7,VT,7,ok08_139
2008/07/12,16:28:42.448183,53.446,-168.1023,4.59,0.31,VT,6,ok08_140
2008/07/12,16:32:45.362351,53.4408,-168.0985,4.09,0.32,VT,6,ok08_141
2008/07/12,16:33:15.699975,53.4578,-168.0719,12.64,0.58,VT,6,ok08_142
2008/07/12,16:36:25.543422,53.4327,-168.0855,4.4,0.41,LP,4,ok08_143
2008/07/12,16:37:33.954942,53.4406,-168.0686,8.3,0.76,VT,3,ok08_144
2008/07/12,16:40:39.191301,53.439,-168.0969,4.09,0.19,VT,6,ok08_145
2008/07/12,16:44:52.679162,53.4419,-168.119,2.25,0.73,VT,8,ok08_146
2008/07/12,16:49:50.962589,53.445,-168.1025,4.15,0.32,VT,5,ok08_147
2008/07/12,16:50:18.100661,53.4447,-168.1076,4.12,0.33,VT,7,ok08_148
2008/07/12,16:53:37.782298,53.4408,-168.0847,8.68,0.63,VT,4,ok08_149
